Cause,Age_Group,Year,Deaths
"Land transport accidents (V01-V89, Y85)",1–14 years,2021,56.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,2021,39.0
Malignant neoplasm of brain (C71),1–14 years,2021,32.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,2021,414.0
"Land transport accidents (V01-V89, Y85)",15–24 years,2021,231.0
Accidental poisoning (X40-X49),15–24 years,2021,68.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,2021,587.0
Accidental poisoning (X40-X49),25–34 years,2021,237.0
"Land transport accidents (V01-V89, Y85)",25–34 years,2021,210.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2021,576.0
Accidental poisoning (X40-X49),35–44 years,2021,382.0
Ischaemic heart diseases (I20-I25),35–44 years,2021,198.0
Ischaemic heart diseases (I20-I25),45–54 years,2021,728.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2021,560.0
Accidental poisoning (X40-X49),45–54 years,2021,422.0
Ischaemic heart diseases (I20-I25),55–64 years,2021,1491.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2021,1426.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2021,613.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2021,2686.0
Ischaemic heart diseases (I20-I25),65–74 years,2021,2579.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2021,1598.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2021,3885.0
Ischaemic heart diseases (I20-I25),75–84 years,2021,4157.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2021,2745.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2021,8471.0
Ischaemic heart diseases (I20-I25),85–94 years,2021,6241.0
Cerebrovascular diseases (I60-I69),85–94 years,2021,4099.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2021,2749.0
Ischaemic heart diseases (I20-I25),95 years and over,2021,2046.0
Cerebrovascular diseases (I60-I69),95 years and over,2021,1234.0
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,2022,516.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,2022,249.0
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,2022,88.0
"Land transport accidents (V01-V89, Y85)",1–14 years,2022,44.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,2022,39.0
Malignant neoplasm of brain (C71),1–14 years,2022,32.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,2022,374.0
"Land transport accidents (V01-V89, Y85)",15–24 years,2022,235.0
Accidental poisoning (X40-X49),15–24 years,2022,91.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,2022,619.0
Accidental poisoning (X40-X49),25–34 years,2022,229.0
"Land transport accidents (V01-V89, Y85)",25–34 years,2022,218.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2022,611.0
Accidental poisoning (X40-X49),35–44 years,2022,377.0
Ischaemic heart diseases (I20-I25),35–44 years,2022,248.0
Ischaemic heart diseases (I20-I25),45–54 years,2022,753.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2022,654.0
Accidental poisoning (X40-X49),45–54 years,2022,427.0
Ischaemic heart diseases (I20-I25),55–64 years,2022,1669.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",55–64 years,2022,1398.0
Chronic lower respiratory diseases (J40-J47),55–64 years,2022,708.0
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)",65–74 years,2022,2684.0
Ischaemic heart diseases (I20-I25),65–74 years,2022,2826.0
Chronic lower respiratory diseases (J40-J47),65–74 years,2022,1752.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",75–84 years,2022,4312.0
Ischaemic heart diseases (I20-I25),75–84 years,2022,4568.0
Chronic lower respiratory diseases (J40-J47),75–84 years,2022,3034.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",85–94 years,2022,8913.0
Ischaemic heart diseases (I20-I25),85–94 years,2022,6637.0
Cerebrovascular diseases (I60-I69),85–94 years,2022,4034.0
"Dementia, including Alzheimer's disease (F01, F03, G30)",95 years and over,2022,2964.0
Ischaemic heart diseases (I20-I25),95 years and over,2022,2066.0
Cerebrovascular diseases (I60-I69),95 years and over,2022,1223.0
Certain conditions originating in the perinatal period (P00-P96),Under 1 year,2023,520.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",Under 1 year,2023,214.0
"Symptoms, signs and ill-defined conditions (R00-R99)",Under 1 year,2023,86.0
"Land transport accidents (V01-V89, Y85)",1–14 years,2023,54.0
"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",1–14 years,2023,38.0
Malignant neoplasm of brain (C71),1–14 years,2023,36.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",15–24 years,2023,375.0
"Land transport accidents (V01-V89, Y85)",15–24 years,2023,245.0
Accidental poisoning (X40-X49),15–24 years,2023,65.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",25–34 years,2023,607.0
Accidental poisoning (X40-X49),25–34 years,2023,198.0
"Land transport accidents (V01-V89, Y85)",25–34 years,2023,235.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",35–44 years,2023,603.0
Accidental poisoning (X40-X49),35–44 years,2023,350.0
Ischaemic heart diseases (I20-I25),35–44 years,2023,180.0
Ischaemic heart diseases (I20-I25),45–54 years,2023,684.0
"Intentional self-harm [suicide] (X60-X84, Y87.0)",45–54 years,2023,605.0
Accidental poisoning (X40-X49),45–54 years,2023,407.0
