Cause,Deaths,Year,Sex
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx (C14)",101.0,2015,Male
Malignant neoplasms of digestive organs  (C15-C26),8528.0,2015,Male
Malignant neoplasm of oesophagus (C15),1014.0,2015,Male
Malignant neoplasm of stomach (C16),779.0,2015,Male
Malignant neoplasm of small intestine (C17),72.0,2015,Male
Malignant neoplasm of colon (C18),1128.0,2015,Male
Malignant neoplasm of rectosigmoid junction (C19),1170.0,2015,Male
Malignant neoplasm of rectum (C20),524.0,2015,Male
Malignant neoplasm of anus and anal canal (C21),38.0,2015,Male
Malignant neoplasm of liver and intrahepatic bile ducts (C22),1366.0,2015,Male
Malignant neoplasm of gallbladder (C23),58.0,2015,Male
Malignant neoplasm of other and unspecified parts of biliary tract (C24),69.0,2015,Male
Malignant neoplasm of pancreas (C25),1523.0,2015,Male
Malignant neoplasm of other and ill-defined digestive organs (C26),876.0,2015,Male
Malignant neoplasms of respiratory and intrathoracic organs  (C30-C39),5755.0,2015,Male
Malignant neoplasm of nasal cavity and middle ear (C30),5.0,2015,Male
Malignant neoplasm of accessory sinuses (C31),17.0,2015,Male
Malignant neoplasm of larynx (C32),257.0,2015,Male
Malignant neoplasm of trachea (C33),5.0,2015,Male
Malignant neoplasm of bronchus and lung (C34),5459.0,2015,Male
Malignant neoplasm of thymus (C37),11.0,2015,Male
"Malignant neoplasm of heart, mediastinum and pleura (C38)",17.0,2015,Male
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs (C39),1.0,2015,Male
Malignant neoplasms of bone and articular cartilage  (C40-C41),75.0,2015,Male
Malignant neoplasm of bone and articular cartilage of limbs (C40),4.0,2015,Male
Malignant neoplasm of bone and articular cartilage of other and unspecified sites (C41),71.0,2015,Male
Melanoma and other malignant neoplasms of skin  (C43-C44),1947.0,2015,Male
Malignant melanoma of skin (C43),1280.0,2015,Male
Other malignant neoplasms of skin (C44),685.0,2015,Male
Malignant neoplasms of mesothelial and soft tissue  (C45-C49),795.0,2015,Male
Mesothelioma (C45),573.0,2015,Male
Kaposi sarcoma (C46),5.0,2015,Male
Malignant neoplasm of peripheral nerves and autonomic nervous system (C47),4.0,2015,Male
Malignant neoplasm of retroperitoneum and peritoneum (C48),15.0,2015,Male
Malignant neoplasm of other connective and soft tissue (C49),198.0,2015,Male
Malignant neoplasm of breast  (C50-C50),38.0,2015,Male
Malignant neoplasm of breast (C50),38.0,2015,Male
Malignant neoplasms of female genital organs  (C51-C58),0.0,2015,Male
Malignant neoplasm of vulva (C51),0.0,2015,Male
Malignant neoplasm of vagina (C52),0.0,2015,Male
Malignant neoplasm of cervix uteri (C53),0.0,2015,Male
Malignant neoplasm of corpus uteri (C54),0.0,2015,Male
"Malignant neoplasm of uterus, part unspecified (C55)",0.0,2015,Male
Malignant neoplasm of ovary (C56),0.0,2015,Male
Malignant neoplasm of other and unspecified female genital organs (C57),0.0,2015,Male
Malignant neoplasm of placenta (C58),0.0,2015,Male
Malignant neoplasms of male genital organs  (C60-C63),5040.0,2015,Male
Malignant neoplasm of penis (C60),20.0,2015,Male
Malignant neoplasm of prostate (C61),4980.0,2015,Male
Malignant neoplasm of testis (C62),37.0,2015,Male
Malignant neoplasm of other and unspecified male genital organs (C63),8.0,2015,Male
Malignant neoplasms of urinary tract  (C64-C68),2235.0,2015,Male
"Malignant neoplasm of kidney, except renal pelvis (C64)",804.0,2015,Male
Malignant neoplasm of renal pelvis (C65),8.0,2015,Male
Malignant neoplasm of ureter (C66),24.0,2015,Male
Malignant neoplasm of bladder (C67),1205.0,2015,Male
Malignant neoplasm of other and unspecified urinary organs (C68),223.0,2015,Male
"Malignant neoplasms of eye, brain and other parts of central nervous system (C69-C72)",900.0,2015,Male
Malignant neoplasm of eye and adnexa (C69),16.0,2015,Male
Malignant neoplasm of meninges (C70),6.0,2015,Male
Malignant neoplasm of brain (C71),872.0,2015,Male
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (C72)",6.0,2015,Male
Malignant neoplasms of thyroid and other endocrine glands  (C73-C75),109.0,2015,Male
Malignant neoplasm of thyroid gland (C73),86.0,2015,Male
Malignant neoplasm of adrenal gland (C74),20.0,2015,Male
Malignant neoplasm of other endocrine glands and related structures (C75),3.0,2015,Male
"Malignant neoplasms of ill-defined, secondary and unspecified sites (C76-C80)",5773.0,2015,Male
Malignant neoplasm of other and ill-defined sites (C76),76.0,2015,Male
